& https://raw.githubusercontent.com/padagraph/Clics/master/nodes.csv
_Edge:, languages, families, weight, width
24 -- 917, 1.0, 1.0, 1.0, 1
24 -- 948, 2.0, 2.0, 2.0, 2
24 -- 949, 5.0, 5.0, 5.0, 5
24 -- 950, 33.0, 14.0, 14.0, 14
24 -- 30, 9.0, 8.0, 8.0, 8
24 -- 704, 1.0, 1.0, 1.0, 1
24 -- 374, 1.0, 1.0, 1.0, 1
25 -- 569, 1.0, 1.0, 1.0, 1
25 -- 956, 1.0, 1.0, 1.0, 1
25 -- 324, 3.0, 3.0, 3.0, 3
25 -- 629, 1.0, 1.0, 1.0, 1
25 -- 182, 1.0, 1.0, 1.0, 1
25 -- 1118, 1.0, 1.0, 1.0, 1
25 -- 561, 1.0, 1.0, 1.0, 1
25 -- 105, 1.0, 1.0, 1.0, 1
25 -- 997, 35.0, 8.0, 8.0, 8
25 -- 343, 1.0, 1.0, 1.0, 1
25 -- 310, 1.0, 1.0, 1.0, 1
25 -- 1152, 1.0, 1.0, 1.0, 1
25 -- 820, 2.0, 2.0, 2.0, 2
25 -- 579, 1.0, 1.0, 1.0, 1
25 -- 824, 1.0, 1.0, 1.0, 1
25 -- 552, 1.0, 1.0, 1.0, 1
25 -- 826, 1.0, 1.0, 1.0, 1
25 -- 776, 1.0, 1.0, 1.0, 1
25 -- 429, 1.0, 1.0, 1.0, 1
25 -- 736, 1.0, 1.0, 1.0, 1
25 -- 896, 1.0, 1.0, 1.0, 1
25 -- 265, 1.0, 1.0, 1.0, 1
25 -- 1163, 1.0, 1.0, 1.0, 1
25 -- 605, 1.0, 1.0, 1.0, 1
25 -- 940, 1.0, 1.0, 1.0, 1
25 -- 1059, 1.0, 1.0, 1.0, 1
25 -- 559, 1.0, 1.0, 1.0, 1
25 -- 829, 1.0, 1.0, 1.0, 1
25 -- 1056, 1.0, 1.0, 1.0, 1
25 -- 752, 2.0, 2.0, 2.0, 2
25 -- 367, 1.0, 1.0, 1.0, 1
25 -- 101, 1.0, 1.0, 1.0, 1
25 -- 525, 1.0, 1.0, 1.0, 1
25 -- 948, 2.0, 2.0, 2.0, 2
25 -- 949, 1.0, 1.0, 1.0, 1
25 -- 1113, 1.0, 1.0, 1.0, 1
26 -- 1093, 1.0, 1.0, 1.0, 1
26 -- 848, 1.0, 1.0, 1.0, 1
26 -- 353, 1.0, 1.0, 1.0, 1
26 -- 1097, 1.0, 1.0, 1.0, 1
26 -- 331, 2.0, 2.0, 2.0, 2
26 -- 202, 7.0, 6.0, 6.0, 6
26 -- 997, 2.0, 2.0, 2.0, 2
26 -- 1004, 2.0, 2.0, 2.0, 2
26 -- 148, 50.0, 14.0, 14.0, 14
26 -- 1249, 1.0, 1.0, 1.0, 1
26 -- 912, 1.0, 1.0, 1.0, 1
26 -- 418, 1.0, 1.0, 1.0, 1
26 -- 585, 1.0, 1.0, 1.0, 1
26 -- 586, 1.0, 1.0, 1.0, 1
26 -- 270, 1.0, 1.0, 1.0, 1
26 -- 781, 2.0, 2.0, 2.0, 2
26 -- 789, 1.0, 1.0, 1.0, 1
26 -- 395, 1.0, 1.0, 1.0, 1
26 -- 681, 1.0, 1.0, 1.0, 1
26 -- 466, 1.0, 1.0, 1.0, 1
26 -- 1261, 8.0, 6.0, 6.0, 6
26 -- 474, 13.0, 5.0, 5.0, 5
26 -- 1152, 1.0, 1.0, 1.0, 1
26 -- 269, 1.0, 1.0, 1.0, 1
26 -- 985, 2.0, 2.0, 2.0, 2
26 -- 783, 1.0, 1.0, 1.0, 1
26 -- 737, 1.0, 1.0, 1.0, 1
26 -- 640, 2.0, 2.0, 2.0, 2
26 -- 129, 1.0, 1.0, 1.0, 1
26 -- 228, 1.0, 1.0, 1.0, 1
26 -- 462, 2.0, 1.0, 1.0, 1
