& https://raw.githubusercontent.com/padagraph/Clics/master/nodes.csv
_Edge:, languages, families, weight, width
853 -- 1190, 1.0, 1.0, 1.0, 1
854 -- 1119, 2.0, 2.0, 2.0, 2
854 -- 892, 1.0, 1.0, 1.0, 1
854 -- 895, 1.0, 1.0, 1.0, 1
854 -- 977, 1.0, 1.0, 1.0, 1
854 -- 1213, 1.0, 1.0, 1.0, 1
854 -- 1137, 1.0, 1.0, 1.0, 1
854 -- 1272, 2.0, 2.0, 2.0, 2
854 -- 1059, 1.0, 1.0, 1.0, 1
854 -- 1060, 3.0, 3.0, 3.0, 3
854 -- 1063, 2.0, 2.0, 2.0, 2
854 -- 1121, 1.0, 1.0, 1.0, 1
854 -- 1190, 1.0, 1.0, 1.0, 1
854 -- 980, 1.0, 1.0, 1.0, 1
854 -- 1241, 1.0, 1.0, 1.0, 1
854 -- 1177, 5.0, 4.0, 4.0, 4
854 -- 1105, 1.0, 1.0, 1.0, 1
854 -- 1260, 1.0, 1.0, 1.0, 1
854 -- 1265, 1.0, 1.0, 1.0, 1
854 -- 921, 1.0, 1.0, 1.0, 1
854 -- 1251, 1.0, 1.0, 1.0, 1
854 -- 1113, 2.0, 2.0, 2.0, 2
854 -- 1115, 1.0, 1.0, 1.0, 1
855 -- 1197, 1.0, 1.0, 1.0, 1
855 -- 1126, 1.0, 1.0, 1.0, 1
855 -- 1209, 1.0, 1.0, 1.0, 1
855 -- 1210, 1.0, 1.0, 1.0, 1
855 -- 1246, 1.0, 1.0, 1.0, 1
855 -- 902, 4.0, 4.0, 4.0, 4
855 -- 1137, 1.0, 1.0, 1.0, 1
855 -- 986, 1.0, 1.0, 1.0, 1
855 -- 1139, 1.0, 1.0, 1.0, 1
855 -- 1274, 19.0, 13.0, 13.0, 13
855 -- 907, 1.0, 1.0, 1.0, 1
855 -- 1184, 1.0, 1.0, 1.0, 1
855 -- 1268, 2.0, 2.0, 2.0, 2
855 -- 861, 1.0, 1.0, 1.0, 1
855 -- 1267, 2.0, 2.0, 2.0, 2
855 -- 855, 1.0, 1.0, 1.0, 1
855 -- 882, 3.0, 3.0, 3.0, 3
856 -- 981, 1.0, 1.0, 1.0, 1
856 -- 1173, 1.0, 1.0, 1.0, 1
857 -- 1193, 1.0, 1.0, 1.0, 1
857 -- 1125, 1.0, 1.0, 1.0, 1
857 -- 1244, 1.0, 1.0, 1.0, 1
857 -- 1127, 1.0, 1.0, 1.0, 1
857 -- 1268, 2.0, 2.0, 2.0, 2
857 -- 1208, 1.0, 1.0, 1.0, 1
857 -- 1126, 1.0, 1.0, 1.0, 1
857 -- 1210, 1.0, 1.0, 1.0, 1
857 -- 858, 1.0, 1.0, 1.0, 1
857 -- 976, 1.0, 1.0, 1.0, 1
857 -- 1267, 5.0, 4.0, 4.0, 4
857 -- 1130, 1.0, 1.0, 1.0, 1
857 -- 875, 1.0, 1.0, 1.0, 1
857 -- 1081, 1.0, 1.0, 1.0, 1
857 -- 1209, 1.0, 1.0, 1.0, 1
858 -- 878, 8.0, 6.0, 6.0, 6
858 -- 1238, 1.0, 1.0, 1.0, 1
858 -- 1010, 1.0, 1.0, 1.0, 1
858 -- 882, 1.0, 1.0, 1.0, 1
859 -- 1025, 1.0, 1.0, 1.0, 1
859 -- 1004, 2.0, 2.0, 2.0, 2
859 -- 1048, 12.0, 10.0, 10.0, 10
859 -- 1260, 1.0, 1.0, 1.0, 1
859 -- 941, 1.0, 1.0, 1.0, 1
859 -- 1058, 1.0, 1.0, 1.0, 1
859 -- 1033, 4.0, 4.0, 4.0, 4
860 -- 1197, 1.0, 1.0, 1.0, 1
860 -- 1268, 5.0, 4.0, 4.0, 4
860 -- 1206, 2.0, 2.0, 2.0, 2
860 -- 977, 1.0, 1.0, 1.0, 1
860 -- 1269, 1.0, 1.0, 1.0, 1
860 -- 934, 1.0, 1.0, 1.0, 1
860 -- 1267, 3.0, 2.0, 2.0, 2
860 -- 945, 1.0, 1.0, 1.0, 1
860 -- 1209, 2.0, 2.0, 2.0, 2
861 -- 964, 1.0, 1.0, 1.0, 1
862 -- 1073, 1.0, 1.0, 1.0, 1
862 -- 1181, 1.0, 1.0, 1.0, 1
862 -- 1197, 1.0, 1.0, 1.0, 1
862 -- 890, 1.0, 1.0, 1.0, 1
862 -- 978, 1.0, 1.0, 1.0, 1
862 -- 862, 1.0, 1.0, 1.0, 1
862 -- 982, 22.0, 5.0, 5.0, 5
862 -- 1182, 1.0, 1.0, 1.0, 1
862 -- 942, 1.0, 1.0, 1.0, 1
862 -- 1027, 20.0, 15.0, 15.0, 15
862 -- 916, 1.0, 1.0, 1.0, 1
862 -- 1217, 1.0, 1.0, 1.0, 1
863 -- 864, 6.0, 5.0, 5.0, 5
863 -- 865, 20.0, 7.0, 7.0, 7
863 -- 1007, 3.0, 3.0, 3.0, 3
863 -- 893, 1.0, 1.0, 1.0, 1
863 -- 972, 1.0, 1.0, 1.0, 1
863 -- 1026, 1.0, 1.0, 1.0, 1
863 -- 978, 1.0, 1.0, 1.0, 1
864 -- 1217, 1.0, 1.0, 1.0, 1
864 -- 865, 13.0, 10.0, 10.0, 10
864 -- 1054, 1.0, 1.0, 1.0, 1
864 -- 864, 1.0, 1.0, 1.0, 1
864 -- 1058, 1.0, 1.0, 1.0, 1
864 -- 893, 1.0, 1.0, 1.0, 1
864 -- 1014, 1.0, 1.0, 1.0, 1
865 -- 868, 1.0, 1.0, 1.0, 1
865 -- 1101, 1.0, 1.0, 1.0, 1
865 -- 893, 1.0, 1.0, 1.0, 1
865 -- 1103, 1.0, 1.0, 1.0, 1
865 -- 1058, 1.0, 1.0, 1.0, 1
866 -- 1054, 1.0, 1.0, 1.0, 1
866 -- 868, 28.0, 3.0, 3.0, 3
866 -- 1221, 1.0, 1.0, 1.0, 1
866 -- 1260, 1.0, 1.0, 1.0, 1
867 -- 930, 3.0, 2.0, 2.0, 2
868 -- 1221, 2.0, 2.0, 2.0, 2
868 -- 1007, 1.0, 1.0, 1.0, 1
868 -- 1057, 1.0, 1.0, 1.0, 1
868 -- 1283, 1.0, 1.0, 1.0, 1
869 -- 1032, 1.0, 1.0, 1.0, 1
869 -- 869, 1.0, 1.0, 1.0, 1
869 -- 872, 1.0, 1.0, 1.0, 1
869 -- 1056, 1.0, 1.0, 1.0, 1
869 -- 1031, 1.0, 1.0, 1.0, 1
869 -- 1219, 1.0, 1.0, 1.0, 1
869 -- 1163, 1.0, 1.0, 1.0, 1
870 -- 1027, 1.0, 1.0, 1.0, 1
871 -- 1237, 1.0, 1.0, 1.0, 1
871 -- 1124, 4.0, 3.0, 3.0, 3
871 -- 1229, 1.0, 1.0, 1.0, 1
871 -- 1015, 1.0, 1.0, 1.0, 1
871 -- 1003, 1.0, 1.0, 1.0, 1
871 -- 1101, 1.0, 1.0, 1.0, 1
871 -- 1031, 1.0, 1.0, 1.0, 1
871 -- 1128, 2.0, 2.0, 2.0, 2
872 -- 950, 1.0, 1.0, 1.0, 1
872 -- 1004, 1.0, 1.0, 1.0, 1
872 -- 978, 4.0, 2.0, 2.0, 2
872 -- 1130, 1.0, 1.0, 1.0, 1
872 -- 1092, 1.0, 1.0, 1.0, 1
872 -- 941, 1.0, 1.0, 1.0, 1
872 -- 1239, 1.0, 1.0, 1.0, 1
872 -- 1274, 1.0, 1.0, 1.0, 1
873 -- 1237, 2.0, 2.0, 2.0, 2
873 -- 991, 1.0, 1.0, 1.0, 1
873 -- 1280, 1.0, 1.0, 1.0, 1
873 -- 1047, 1.0, 1.0, 1.0, 1
873 -- 1068, 1.0, 1.0, 1.0, 1
874 -- 956, 1.0, 1.0, 1.0, 1
874 -- 1178, 1.0, 1.0, 1.0, 1
874 -- 1027, 1.0, 1.0, 1.0, 1
874 -- 981, 1.0, 1.0, 1.0, 1
874 -- 1205, 1.0, 1.0, 1.0, 1
875 -- 1179, 2.0, 2.0, 2.0, 2
875 -- 893, 1.0, 1.0, 1.0, 1
875 -- 895, 1.0, 1.0, 1.0, 1
875 -- 1009, 2.0, 2.0, 2.0, 2
875 -- 1055, 1.0, 1.0, 1.0, 1
875 -- 1135, 1.0, 1.0, 1.0, 1
875 -- 1219, 1.0, 1.0, 1.0, 1
875 -- 1142, 1.0, 1.0, 1.0, 1
875 -- 1177, 1.0, 1.0, 1.0, 1
875 -- 1260, 1.0, 1.0, 1.0, 1
875 -- 1101, 1.0, 1.0, 1.0, 1
875 -- 1102, 1.0, 1.0, 1.0, 1
875 -- 1057, 1.0, 1.0, 1.0, 1
875 -- 876, 5.0, 5.0, 5.0, 5
875 -- 1109, 1.0, 1.0, 1.0, 1
876 -- 1222, 1.0, 1.0, 1.0, 1
876 -- 1085, 1.0, 1.0, 1.0, 1
877 -- 961, 1.0, 1.0, 1.0, 1
877 -- 888, 18.0, 8.0, 8.0, 8
877 -- 889, 1.0, 1.0, 1.0, 1
877 -- 1027, 1.0, 1.0, 1.0, 1
877 -- 974, 1.0, 1.0, 1.0, 1
877 -- 1064, 1.0, 1.0, 1.0, 1
877 -- 992, 2.0, 2.0, 2.0, 2
877 -- 915, 1.0, 1.0, 1.0, 1
877 -- 1234, 1.0, 1.0, 1.0, 1
877 -- 917, 14.0, 4.0, 4.0, 4
877 -- 1233, 5.0, 2.0, 2.0, 2
877 -- 1072, 1.0, 1.0, 1.0, 1
877 -- 916, 10.0, 4.0, 4.0, 4
877 -- 1029, 2.0, 1.0, 1.0, 1
877 -- 1086, 6.0, 5.0, 5.0, 5
877 -- 1169, 1.0, 1.0, 1.0, 1
877 -- 1172, 1.0, 1.0, 1.0, 1
877 -- 1176, 1.0, 1.0, 1.0, 1
877 -- 942, 3.0, 3.0, 3.0, 3
877 -- 1268, 1.0, 1.0, 1.0, 1
877 -- 881, 1.0, 1.0, 1.0, 1
878 -- 1215, 6.0, 2.0, 2.0, 2
878 -- 1197, 1.0, 1.0, 1.0, 1
878 -- 1202, 1.0, 1.0, 1.0, 1
878 -- 910, 1.0, 1.0, 1.0, 1
879 -- 1129, 1.0, 1.0, 1.0, 1
879 -- 879, 1.0, 1.0, 1.0, 1
879 -- 883, 1.0, 1.0, 1.0, 1
880 -- 1216, 1.0, 1.0, 1.0, 1
880 -- 1160, 1.0, 1.0, 1.0, 1
880 -- 965, 6.0, 6.0, 6.0, 6
880 -- 910, 1.0, 1.0, 1.0, 1
880 -- 1089, 1.0, 1.0, 1.0, 1
881 -- 1215, 1.0, 1.0, 1.0, 1
881 -- 1075, 1.0, 1.0, 1.0, 1
881 -- 974, 2.0, 2.0, 2.0, 2
881 -- 972, 2.0, 2.0, 2.0, 2
881 -- 1047, 1.0, 1.0, 1.0, 1
881 -- 1090, 1.0, 1.0, 1.0, 1
881 -- 1169, 1.0, 1.0, 1.0, 1
881 -- 1176, 1.0, 1.0, 1.0, 1
881 -- 1273, 3.0, 3.0, 3.0, 3
881 -- 917, 1.0, 1.0, 1.0, 1
881 -- 881, 1.0, 1.0, 1.0, 1
881 -- 936, 1.0, 1.0, 1.0, 1
882 -- 968, 1.0, 1.0, 1.0, 1
882 -- 1197, 1.0, 1.0, 1.0, 1
882 -- 1268, 6.0, 5.0, 5.0, 5
882 -- 1274, 1.0, 1.0, 1.0, 1
882 -- 1235, 1.0, 1.0, 1.0, 1
883 -- 1031, 1.0, 1.0, 1.0, 1
883 -- 1140, 1.0, 1.0, 1.0, 1
883 -- 1129, 2.0, 2.0, 2.0, 2
883 -- 1272, 1.0, 1.0, 1.0, 1
883 -- 972, 1.0, 1.0, 1.0, 1
883 -- 1255, 3.0, 3.0, 3.0, 3
883 -- 1110, 3.0, 3.0, 3.0, 3
883 -- 1006, 1.0, 1.0, 1.0, 1
883 -- 918, 2.0, 2.0, 2.0, 2
884 -- 955, 1.0, 1.0, 1.0, 1
885 -- 937, 2.0, 1.0, 1.0, 1
885 -- 1138, 2.0, 1.0, 1.0, 1
885 -- 1199, 1.0, 1.0, 1.0, 1
885 -- 1202, 1.0, 1.0, 1.0, 1
885 -- 1030, 1.0, 1.0, 1.0, 1
886 -- 958, 1.0, 1.0, 1.0, 1
886 -- 1147, 1.0, 1.0, 1.0, 1
886 -- 932, 1.0, 1.0, 1.0, 1
886 -- 1149, 1.0, 1.0, 1.0, 1
887 -- 979, 8.0, 7.0, 7.0, 7
887 -- 1227, 41.0, 15.0, 15.0, 15
887 -- 1081, 30.0, 9.0, 9.0, 9
888 -- 1183, 1.0, 1.0, 1.0, 1
888 -- 1179, 1.0, 1.0, 1.0, 1
888 -- 961, 1.0, 1.0, 1.0, 1
888 -- 965, 1.0, 1.0, 1.0, 1
888 -- 1136, 1.0, 1.0, 1.0, 1
888 -- 970, 1.0, 1.0, 1.0, 1
888 -- 973, 1.0, 1.0, 1.0, 1
888 -- 968, 6.0, 4.0, 4.0, 4
888 -- 1219, 1.0, 1.0, 1.0, 1
888 -- 991, 1.0, 1.0, 1.0, 1
888 -- 992, 9.0, 8.0, 8.0, 8
888 -- 1230, 1.0, 1.0, 1.0, 1
888 -- 1090, 1.0, 1.0, 1.0, 1
888 -- 1233, 1.0, 1.0, 1.0, 1
888 -- 916, 3.0, 1.0, 1.0, 1
888 -- 1235, 1.0, 1.0, 1.0, 1
888 -- 1073, 1.0, 1.0, 1.0, 1
888 -- 917, 1.0, 1.0, 1.0, 1
888 -- 1274, 1.0, 1.0, 1.0, 1
888 -- 1035, 1.0, 1.0, 1.0, 1
888 -- 1249, 1.0, 1.0, 1.0, 1
888 -- 1172, 5.0, 4.0, 4.0, 4
888 -- 1176, 1.0, 1.0, 1.0, 1
888 -- 942, 21.0, 16.0, 16.0, 16
888 -- 927, 1.0, 1.0, 1.0, 1
889 -- 1075, 16.0, 11.0, 11.0, 11
889 -- 1076, 1.0, 1.0, 1.0, 1
889 -- 1077, 1.0, 1.0, 1.0, 1
889 -- 996, 1.0, 1.0, 1.0, 1
889 -- 1091, 1.0, 1.0, 1.0, 1
889 -- 1259, 1.0, 1.0, 1.0, 1
889 -- 926, 7.0, 5.0, 5.0, 5
889 -- 1111, 1.0, 1.0, 1.0, 1
889 -- 940, 1.0, 1.0, 1.0, 1
889 -- 1058, 1.0, 1.0, 1.0, 1
889 -- 1064, 1.0, 1.0, 1.0, 1
889 -- 1110, 1.0, 1.0, 1.0, 1
889 -- 1190, 1.0, 1.0, 1.0, 1
890 -- 1132, 1.0, 1.0, 1.0, 1
890 -- 966, 1.0, 1.0, 1.0, 1
890 -- 1144, 1.0, 1.0, 1.0, 1
890 -- 980, 1.0, 1.0, 1.0, 1
891 -- 1060, 1.0, 1.0, 1.0, 1
891 -- 1109, 11.0, 8.0, 8.0, 8
891 -- 1009, 1.0, 1.0, 1.0, 1
891 -- 1255, 1.0, 1.0, 1.0, 1
891 -- 1005, 9.0, 5.0, 5.0, 5
891 -- 1169, 1.0, 1.0, 1.0, 1
891 -- 1131, 1.0, 1.0, 1.0, 1
891 -- 921, 1.0, 1.0, 1.0, 1
891 -- 948, 1.0, 1.0, 1.0, 1
891 -- 950, 1.0, 1.0, 1.0, 1
891 -- 1115, 1.0, 1.0, 1.0, 1
892 -- 893, 2.0, 2.0, 2.0, 2
892 -- 894, 5.0, 5.0, 5.0, 5
892 -- 1255, 2.0, 2.0, 2.0, 2
892 -- 977, 1.0, 1.0, 1.0, 1
892 -- 980, 1.0, 1.0, 1.0, 1
892 -- 1170, 1.0, 1.0, 1.0, 1
892 -- 1057, 15.0, 9.0, 9.0, 9
892 -- 1142, 1.0, 1.0, 1.0, 1
892 -- 1241, 1.0, 1.0, 1.0, 1
893 -- 935, 1.0, 1.0, 1.0, 1
893 -- 1197, 1.0, 1.0, 1.0, 1
893 -- 1193, 1.0, 1.0, 1.0, 1
893 -- 1203, 1.0, 1.0, 1.0, 1
893 -- 1206, 1.0, 1.0, 1.0, 1
893 -- 1170, 1.0, 1.0, 1.0, 1
893 -- 1238, 1.0, 1.0, 1.0, 1
893 -- 914, 1.0, 1.0, 1.0, 1
893 -- 937, 1.0, 1.0, 1.0, 1
893 -- 1113, 1.0, 1.0, 1.0, 1
894 -- 1193, 1.0, 1.0, 1.0, 1
894 -- 1244, 2.0, 2.0, 2.0, 2
894 -- 1102, 3.0, 3.0, 3.0, 3
894 -- 1277, 1.0, 1.0, 1.0, 1
895 -- 966, 1.0, 1.0, 1.0, 1
895 -- 965, 1.0, 1.0, 1.0, 1
895 -- 970, 1.0, 1.0, 1.0, 1
895 -- 981, 1.0, 1.0, 1.0, 1
895 -- 1038, 1.0, 1.0, 1.0, 1
895 -- 974, 2.0, 1.0, 1.0, 1
895 -- 1052, 1.0, 1.0, 1.0, 1
895 -- 905, 2.0, 1.0, 1.0, 1
895 -- 1272, 3.0, 3.0, 3.0, 3
895 -- 1259, 1.0, 1.0, 1.0, 1
895 -- 921, 3.0, 2.0, 2.0, 2
895 -- 997, 1.0, 1.0, 1.0, 1
895 -- 1075, 1.0, 1.0, 1.0, 1
895 -- 1177, 2.0, 1.0, 1.0, 1
895 -- 1249, 1.0, 1.0, 1.0, 1
895 -- 1063, 1.0, 1.0, 1.0, 1
895 -- 1158, 1.0, 1.0, 1.0, 1
895 -- 1066, 1.0, 1.0, 1.0, 1
895 -- 1110, 1.0, 1.0, 1.0, 1
895 -- 1115, 1.0, 1.0, 1.0, 1
895 -- 1113, 1.0, 1.0, 1.0, 1
895 -- 1271, 1.0, 1.0, 1.0, 1
896 -- 899, 2.0, 2.0, 2.0, 2
896 -- 916, 1.0, 1.0, 1.0, 1
896 -- 907, 2.0, 2.0, 2.0, 2
896 -- 1202, 1.0, 1.0, 1.0, 1
896 -- 1206, 1.0, 1.0, 1.0, 1
896 -- 1205, 1.0, 1.0, 1.0, 1
896 -- 896, 1.0, 1.0, 1.0, 1
896 -- 901, 2.0, 2.0, 2.0, 2
896 -- 924, 1.0, 1.0, 1.0, 1
896 -- 1082, 1.0, 1.0, 1.0, 1
896 -- 988, 1.0, 1.0, 1.0, 1
896 -- 908, 1.0, 1.0, 1.0, 1
896 -- 948, 1.0, 1.0, 1.0, 1
897 -- 944, 5.0, 5.0, 5.0, 5
897 -- 931, 2.0, 2.0, 2.0, 2
897 -- 1131, 1.0, 1.0, 1.0, 1
898 -- 898, 1.0, 1.0, 1.0, 1
898 -- 1106, 6.0, 5.0, 5.0, 5
899 -- 901, 3.0, 3.0, 3.0, 3
899 -- 924, 1.0, 1.0, 1.0, 1
899 -- 988, 1.0, 1.0, 1.0, 1
899 -- 907, 2.0, 2.0, 2.0, 2
899 -- 908, 1.0, 1.0, 1.0, 1
899 -- 1229, 1.0, 1.0, 1.0, 1
899 -- 1082, 1.0, 1.0, 1.0, 1
899 -- 1205, 33.0, 15.0, 15.0, 15
900 -- 900, 1.0, 1.0, 1.0, 1
900 -- 1147, 1.0, 1.0, 1.0, 1
901 -- 1118, 4.0, 4.0, 4.0, 4
901 -- 1020, 1.0, 1.0, 1.0, 1
901 -- 1084, 2.0, 2.0, 2.0, 2
901 -- 1205, 2.0, 2.0, 2.0, 2
901 -- 907, 19.0, 4.0, 4.0, 4
901 -- 924, 2.0, 2.0, 2.0, 2
901 -- 905, 1.0, 1.0, 1.0, 1
901 -- 1082, 1.0, 1.0, 1.0, 1
901 -- 1059, 3.0, 3.0, 3.0, 3
901 -- 908, 1.0, 1.0, 1.0, 1
901 -- 1103, 1.0, 1.0, 1.0, 1
901 -- 1189, 1.0, 1.0, 1.0, 1
901 -- 988, 1.0, 1.0, 1.0, 1
901 -- 1282, 1.0, 1.0, 1.0, 1
902 -- 1274, 13.0, 7.0, 7.0, 7
902 -- 1180, 1.0, 1.0, 1.0, 1
902 -- 1089, 1.0, 1.0, 1.0, 1
902 -- 1055, 1.0, 1.0, 1.0, 1
902 -- 1271, 1.0, 1.0, 1.0, 1
902 -- 1094, 1.0, 1.0, 1.0, 1
903 -- 905, 2.0, 2.0, 2.0, 2
903 -- 1174, 1.0, 1.0, 1.0, 1
903 -- 996, 1.0, 1.0, 1.0, 1
903 -- 1177, 1.0, 1.0, 1.0, 1
903 -- 1095, 2.0, 2.0, 2.0, 2
903 -- 1107, 1.0, 1.0, 1.0, 1
903 -- 1213, 2.0, 2.0, 2.0, 2
903 -- 1272, 1.0, 1.0, 1.0, 1
904 -- 1073, 1.0, 1.0, 1.0, 1
904 -- 961, 1.0, 1.0, 1.0, 1
904 -- 1197, 1.0, 1.0, 1.0, 1
904 -- 1027, 1.0, 1.0, 1.0, 1
904 -- 1078, 3.0, 2.0, 2.0, 2
904 -- 1044, 1.0, 1.0, 1.0, 1
904 -- 1203, 2.0, 2.0, 2.0, 2
904 -- 1058, 1.0, 1.0, 1.0, 1
904 -- 1156, 2.0, 2.0, 2.0, 2
904 -- 1212, 1.0, 1.0, 1.0, 1
904 -- 969, 1.0, 1.0, 1.0, 1
904 -- 1282, 1.0, 1.0, 1.0, 1
904 -- 1067, 1.0, 1.0, 1.0, 1
904 -- 1275, 1.0, 1.0, 1.0, 1
904 -- 1113, 1.0, 1.0, 1.0, 1
904 -- 1159, 1.0, 1.0, 1.0, 1
904 -- 1192, 1.0, 1.0, 1.0, 1
905 -- 1057, 1.0, 1.0, 1.0, 1
905 -- 974, 1.0, 1.0, 1.0, 1
905 -- 1070, 1.0, 1.0, 1.0, 1
906 -- 957, 2.0, 1.0, 1.0, 1
907 -- 1205, 1.0, 1.0, 1.0, 1
907 -- 924, 1.0, 1.0, 1.0, 1
907 -- 1082, 1.0, 1.0, 1.0, 1
907 -- 988, 1.0, 1.0, 1.0, 1
907 -- 908, 3.0, 3.0, 3.0, 3
908 -- 924, 1.0, 1.0, 1.0, 1
908 -- 1175, 1.0, 1.0, 1.0, 1
908 -- 1136, 1.0, 1.0, 1.0, 1
908 -- 1205, 1.0, 1.0, 1.0, 1
908 -- 1279, 1.0, 1.0, 1.0, 1
909 -- 1200, 1.0, 1.0, 1.0, 1
910 -- 911, 28.0, 14.0, 14.0, 14
910 -- 1198, 1.0, 1.0, 1.0, 1
910 -- 1276, 1.0, 1.0, 1.0, 1
911 -- 1170, 1.0, 1.0, 1.0, 1
911 -- 1072, 2.0, 2.0, 2.0, 2
911 -- 1229, 3.0, 3.0, 3.0, 3
912 -- 1270, 1.0, 1.0, 1.0, 1
912 -- 1058, 1.0, 1.0, 1.0, 1
912 -- 978, 1.0, 1.0, 1.0, 1
912 -- 1049, 43.0, 14.0, 14.0, 14
912 -- 968, 1.0, 1.0, 1.0, 1
912 -- 1216, 1.0, 1.0, 1.0, 1
912 -- 941, 1.0, 1.0, 1.0, 1
912 -- 1145, 1.0, 1.0, 1.0, 1
912 -- 1278, 1.0, 1.0, 1.0, 1
912 -- 1031, 1.0, 1.0, 1.0, 1
913 -- 992, 1.0, 1.0, 1.0, 1
913 -- 976, 25.0, 16.0, 16.0, 16
913 -- 1089, 1.0, 1.0, 1.0, 1
913 -- 1094, 1.0, 1.0, 1.0, 1
914 -- 1010, 2.0, 1.0, 1.0, 1
914 -- 1079, 1.0, 1.0, 1.0, 1
914 -- 937, 1.0, 1.0, 1.0, 1
915 -- 1032, 1.0, 1.0, 1.0, 1
915 -- 1117, 1.0, 1.0, 1.0, 1
915 -- 1029, 1.0, 1.0, 1.0, 1
915 -- 1030, 3.0, 3.0, 3.0, 3
915 -- 1165, 1.0, 1.0, 1.0, 1
915 -- 1115, 1.0, 1.0, 1.0, 1
916 -- 1136, 2.0, 2.0, 2.0, 2
916 -- 1235, 2.0, 1.0, 1.0, 1
916 -- 1206, 1.0, 1.0, 1.0, 1
916 -- 968, 1.0, 1.0, 1.0, 1
916 -- 919, 1.0, 1.0, 1.0, 1
916 -- 1219, 1.0, 1.0, 1.0, 1
916 -- 1179, 1.0, 1.0, 1.0, 1
916 -- 1027, 1.0, 1.0, 1.0, 1
916 -- 1092, 1.0, 1.0, 1.0, 1
916 -- 1062, 1.0, 1.0, 1.0, 1
916 -- 1233, 1.0, 1.0, 1.0, 1
916 -- 1234, 1.0, 1.0, 1.0, 1
916 -- 917, 28.0, 12.0, 12.0, 12
916 -- 927, 9.0, 9.0, 9.0, 9
916 -- 1086, 1.0, 1.0, 1.0, 1
917 -- 960, 1.0, 1.0, 1.0, 1
917 -- 1086, 3.0, 3.0, 3.0, 3
917 -- 1049, 1.0, 1.0, 1.0, 1
917 -- 1219, 3.0, 1.0, 1.0, 1
917 -- 1165, 1.0, 1.0, 1.0, 1
917 -- 940, 1.0, 1.0, 1.0, 1
917 -- 1235, 3.0, 1.0, 1.0, 1
917 -- 927, 1.0, 1.0, 1.0, 1
917 -- 919, 1.0, 1.0, 1.0, 1
918 -- 939, 1.0, 1.0, 1.0, 1
918 -- 1213, 1.0, 1.0, 1.0, 1
918 -- 993, 1.0, 1.0, 1.0, 1
918 -- 1228, 1.0, 1.0, 1.0, 1
919 -- 1201, 1.0, 1.0, 1.0, 1
919 -- 1192, 1.0, 1.0, 1.0, 1
920 -- 986, 1.0, 1.0, 1.0, 1
921 -- 1136, 5.0, 3.0, 3.0, 3
921 -- 1074, 1.0, 1.0, 1.0, 1
921 -- 1255, 2.0, 2.0, 2.0, 2
921 -- 1126, 1.0, 1.0, 1.0, 1
921 -- 1248, 1.0, 1.0, 1.0, 1
921 -- 1252, 1.0, 1.0, 1.0, 1
921 -- 1008, 1.0, 1.0, 1.0, 1
921 -- 1092, 1.0, 1.0, 1.0, 1
921 -- 1054, 2.0, 2.0, 2.0, 2
921 -- 992, 11.0, 2.0, 2.0, 2
921 -- 1063, 1.0, 1.0, 1.0, 1
921 -- 1109, 1.0, 1.0, 1.0, 1
922 -- 1009, 1.0, 1.0, 1.0, 1
923 -- 1161, 1.0, 1.0, 1.0, 1
923 -- 1241, 1.0, 1.0, 1.0, 1
924 -- 1025, 1.0, 1.0, 1.0, 1
924 -- 981, 1.0, 1.0, 1.0, 1
924 -- 1205, 1.0, 1.0, 1.0, 1
925 -- 1079, 1.0, 1.0, 1.0, 1
925 -- 948, 1.0, 1.0, 1.0, 1
925 -- 932, 5.0, 5.0, 5.0, 5
925 -- 1113, 1.0, 1.0, 1.0, 1
926 -- 1075, 2.0, 2.0, 2.0, 2
926 -- 1206, 1.0, 1.0, 1.0, 1
926 -- 1009, 1.0, 1.0, 1.0, 1
926 -- 1088, 1.0, 1.0, 1.0, 1
926 -- 1116, 1.0, 1.0, 1.0, 1
926 -- 1279, 1.0, 1.0, 1.0, 1
926 -- 1113, 1.0, 1.0, 1.0, 1
927 -- 1183, 1.0, 1.0, 1.0, 1
927 -- 1179, 1.0, 1.0, 1.0, 1
927 -- 965, 1.0, 1.0, 1.0, 1
927 -- 1136, 2.0, 2.0, 2.0, 2
927 -- 973, 1.0, 1.0, 1.0, 1
927 -- 968, 11.0, 8.0, 8.0, 8
927 -- 1219, 1.0, 1.0, 1.0, 1
927 -- 991, 1.0, 1.0, 1.0, 1
927 -- 992, 1.0, 1.0, 1.0, 1
927 -- 1230, 1.0, 1.0, 1.0, 1
927 -- 1233, 1.0, 1.0, 1.0, 1
927 -- 1073, 1.0, 1.0, 1.0, 1
927 -- 1235, 8.0, 7.0, 7.0, 7
927 -- 1249, 1.0, 1.0, 1.0, 1
927 -- 1090, 1.0, 1.0, 1.0, 1
927 -- 1172, 2.0, 1.0, 1.0, 1
927 -- 1176, 1.0, 1.0, 1.0, 1
927 -- 942, 2.0, 1.0, 1.0, 1
927 -- 1035, 1.0, 1.0, 1.0, 1
928 -- 1089, 3.0, 3.0, 3.0, 3
928 -- 1094, 4.0, 4.0, 4.0, 4
929 -- 1109, 2.0, 1.0, 1.0, 1
930 -- 1176, 1.0, 1.0, 1.0, 1
930 -- 1126, 1.0, 1.0, 1.0, 1
930 -- 1186, 1.0, 1.0, 1.0, 1
932 -- 948, 2.0, 2.0, 2.0, 2
932 -- 1113, 1.0, 1.0, 1.0, 1
