@Concept: #id, key, label, concept, body_part, frequency
269, 13.23, part/ piece, part/ piece, 0.0, 310.0
270, 21.18, judge (noun), judge (noun), 0.0, 176.0
271, 2.251, young man (adolescent), young man (adolescent), 0.0, 284.0
272, 3.52, cock/ rooster, cock/ rooster, 0.0, 211.0
273, 8.6, tree, tree, 0.0, 268.0
274, 11.77, hire, hire, 0.0, 182.0
275, 11.69, tax/ tribute, tax/ tribute, 0.0, 196.0
276, 3.29, lamb, lamb, 0.0, 192.0
277, 8.83, citrus fruit, citrus fruit, 0.0, 136.0
278, 8.84, banana tree, banana tree, 0.0, 171.0
279, 4.854, itch, itch, 0.0, 239.0
280, 3.23, cow, cow, 0.0, 177.0
281, 3.22, ox, ox, 0.0, 167.0
282, 3.21, bull, bull, 0.0, 197.0
283, 4.855, blister, blister, 0.0, 238.0
284, 3.26, ram, ram, 0.0, 185.0
285, 3.25, sheep, sheep, 0.0, 200.0
286, 3.24, calf, calf, 0.0, 210.0
287, 18.71, flute, flute, 0.0, 212.0
288, 5.122, raw, raw, 0.0, 254.0
289, 16.48, proud, proud, 0.0, 227.0
290, 18.72, drum, drum, 0.0, 212.0
291, 2.24, female, female, 0.0, 233.0
292, 2.39, married woman, married woman, 0.0, 187.0
293, 5.125, rotten, rotten, 0.0, 299.0
294, 5.124, green/ unripe, green/ unripe, 0.0, 305.0
295, 16.42, anger, anger, 0.0, 319.0
296, 16.41, hate, hate, 0.0, 259.0
297, 4.858, scar, scar, 0.0, 240.0
298, 16.44, envy/ jealousy, envy/ jealousy, 0.0, 312.0
299, 1.841, embers, embers, 0.0, 240.0
300, 1.83, smoke (noun), smoke (noun), 0.0, 243.0
301, 1.82, flame (noun), flame (noun), 0.0, 239.0
302, 1.81, fire, fire, 0.0, 253.0
303, 1.87, match (noun), match (noun), 0.0, 212.0
304, 2.621, mother-in-law (of a woman), mother-in-law (of a woman), 0.0, 200.0
305, 1.84, ashes, ashes, 0.0, 242.0
306, 1.89, charcoal, charcoal, 0.0, 238.0
307, 1.88, firewood, firewood, 0.0, 252.0
308, 15.851, warm, warm, 0.0, 255.0
309, 4.22, ear, ear, 1.0, 240.0
310, 4.23, nose, nose, 1.0, 238.0
311, 4.21, eye, eye, 1.0, 240.0
312, 4.26, tongue, tongue, 1.0, 235.0
313, 1.852, burn (vb intrans), burn (vb intrans), 0.0, 250.0
